akscore2_nondock	akscore2_dock	akscore2_ens
0.0	-2.3991	-0.0
0.0	-2.6413	-0.0
0.0	-2.8268	-0.0
0.0	-2.281	-0.0
0.8849	-5.247	-4.6432
0.0	-2.7505	-0.0
0.8849	-5.7619	-5.0988
0.0	-2.2389	-0.0
0.0	-2.7621	-0.0
0.0	-2.2274	-0.0
0.7152	-5.5752	-3.9873
0.8849	-5.8112	-5.1424
0.8849	-5.4616	-4.8331
NaN	NaN	NaN
0.8689	-4.9308	-4.2842
0.7154	-4.986	-3.5669
0.8527	-5.3458	-4.5582
NaN	NaN	NaN
0.2646	-2.515	-0.6655
0.8657	-4.6534	-4.0286
0.1023	-4.2316	-0.4329
NaN	NaN	NaN
NaN	NaN	NaN
0.7555	-4.3231	-3.2663
0.7935	-3.2592	-2.5861
0.0001	-2.7967	-0.0002
0.0945	-4.9732	-0.4698
0.0001	-3.9998	-0.0004
0.2195	-5.1389	-1.1281
0.5878	-5.0774	-2.9845
0.112	-4.4455	-0.4977
0.4571	-4.5703	-2.089
NaN	NaN	NaN
NaN	NaN	NaN
0.8468	-4.9584	-4.1985
0.0002	-3.2097	-0.0006
0.8035	-5.1996	-4.1781
0.8497	-5.0326	-4.2763
0.8173	-4.5195	-3.6939
0.0001	-4.9845	-0.0006
NaN	NaN	NaN
0.9661	-3.5403	-3.4205
0.9767	-4.7424	-4.6317
NaN	NaN	NaN
NaN	NaN	NaN
0.4828	-4.2772	-2.0651
0.0	-3.0501	-0.0
0.0042	-3.2655	-0.0137
0.0	-3.4395	-0.0
0.668	-5.6897	-3.801
0.0008	-4.2212	-0.0033
0.0	-3.8037	-0.0
0.0	-3.8165	-0.0
0.623	-4.1937	-2.6127
0.0242	-4.5484	-0.11
0.0005	-4.6705	-0.0024
0.0	-5.4866	-0.0
0.0	-2.7669	-0.0
0.0	-2.7924	-0.0
0.512	-4.6408	-2.3759
0.7528	-3.6945	-2.7813
0.7407	-4.3523	-3.2237
0.0	-4.4686	-0.0
NaN	NaN	NaN
NaN	NaN	NaN
0.7847	-4.872	-3.823
0.331	-4.4925	-1.4872
0.7152	-5.5254	-3.9517
0.8932	-5.1989	-4.6436
0.7665	-5.3155	-4.0741
0.9523	-5.6772	-5.4063
0.623	-5.0631	-3.1543
0.8932	-5.2206	-4.6631
0.8849	-5.7474	-5.086
0.9402	-5.5462	-5.2147
